Quarter,State,Male,Female,TotalPopulation,NaturalIncrease,NetOverseasMigration,NetInterstateMigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,Australian Capital Territory,192656,195534,388190,1007,1463,-536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,New South Wales,3714264,3773570,7487834,12341,21805,-957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,Northern Territory,127065,115725,242790,720,645,-622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,Queensland,2343145,2362042,4705187,9665,9754,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,South Australia,833675,849869,1683544,2140,4061,-837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,Tasmania,255134,258547,513681,507,589,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,Victoria,2902774,2966737,5869511,10589,19573,2655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,Western Australia,1264796,1247760,2512556,5699,7143,-570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,Australian Capital Territory,192913,195886,388799,881,276,-484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,New South Wales,3724215,3784138,7508353,11073,11375,-1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,Northern Territory,127079,115815,242894,769,232,-633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,Queensland,2349563,2370090,4719653,8760,4504,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,South Australia,835164,851781,1686945,1876,2154,-760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,Tasmania,255008,258613,513621,251,289,-218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,Victoria,2915277,2979640,5894917,9315,9388,2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,Western Australia,1266894,1250714,2517608,5494,2136,-663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,Australian Capital Territory,193786,196868,390654,928,1144,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,New South Wales,3737719,3798558,7536277,9978,19303,-1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,Northern Territory,127036,116165,243201,643,236,-305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,Queensland,2356039,2378574,4734613,8153,5740,1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,South Australia,836736,853397,1690133,1380,2573,-926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,Tasmania,255014,258884,513898,332,376,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,Victoria,2930934,2996265,5927199,9341,16879,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,Western Australia,1269642,1254400,2524042,5159,3936,-696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4,Australian Capital Territory,194291,197690,391981,978,330,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4,New South Wales,3750061,3812110,7562171,12029,15869,-1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4,Northern Territory,126742,116011,242753,660,28,-879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4,Queensland,2361282,2385981,4747263,8375,3035,1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4,South Australia,838094,855013,1693107,1756,2186,-1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4,Tasmania,254973,259067,514040,330,471,-297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
